geneID	logFC
FN1	3.30895810820584
MAP1B	3.29152892809232
PCDHGB4	3.29069922065224
SPP1	3.28547609943526
CCBE1	3.27876970669921
IRS1	3.27716267008873
SCUBE3	3.26817672606363
THBD	3.2622278458211
SNX7	3.26151551672697
NAV3	3.24894420239749
ABCC3	3.24214429067364
PARD3B	3.23807315325413
FGF5	3.2364209768812
CHST3	3.23458762780406
CAVIN3	3.23368532235009
AGTR1	3.23302868137211
NNMT	3.23234050518228
MT1E	3.21761050320586
GABRE	3.21668285221975
FBXW10B	3.21045554056904
TIMP4	3.2069959532141
CCDC80	3.20502978305069
COL6A2	3.2045521117525
RAB3B	3.20411252955171
C11orf87	3.19844919123063
MYOF	3.19619360322935
RCVRN	3.19380138140722
PARVA	3.19329061626112
IGF2BP1	3.18953106077867
ANXA5	3.18150552504479
LOXL2	3.18086556253634
DAW1	3.1753037474415
ABCA1	3.17457607370055
NT5E	3.17387112664863
FARP1	3.16814420861404
CCNJL	3.16776934161984
EMP1	3.16281865416593
FERMT2	3.1625327411496
VASN	3.16131117289434
DIP2C	3.15738305136716
FAP	3.15419089096514
PRICKLE2	3.15237164722596
BMPER	3.14259300799274
NAV2	3.13522640118224
SH3D19	3.12968302238201
PTPRG	3.12795878180826
ARNT2	3.12737591013877
MECOM	3.12273177736957
VGLL3	3.11781097711928
CCL7	3.11240901892649
RIMS1	3.11155233603671
RNF152	3.11111799876423
PBX1	3.10663700237316
STEAP1	3.1027634792667
TBX18	3.10156579836308
SLC22A23	3.09961921454597
EDIL3	3.09920175614987
BCAR1	3.09738231983703
ADGRL4	3.0929536011955
BARX1	3.09078410385606
LOX	3.0851130330141
TMEM171	3.07995943268522
CSPG4	3.07883884779211
TMEM47	3.07488853420258
PDCD1LG2	3.07346291230886
COL4A1	3.07201107500292
SYNC	3.06861658757946
LRP1	3.0672888202116
TMEM132A	3.06633543829561
PCDHGC3	3.06436387365459
FAM180A	3.06048236040524
P2RY6	3.06004318629321
COL6A1	3.05928954474376
DCN	3.05849158697217
TBC1D9	3.05728949896032
TENM2	3.05556435660266
NTN4	3.05544104052989
FSTL1	3.05428737611923
SIGLEC16	3.05126264436339
CA12	3.04899394307152
DKK3	3.04839588638243
COL4A2	3.04484068651358
EVC	3.04457713340554
CORO2B	3.0424034921445
MT2A	3.04214616769156
ALPK2	3.03868842370456
SLC12A8	3.03128085192103
APOBEC3A	3.02668659858048
EDN1	3.026103930431
PTX3	3.02144303120129
STC2	3.02123212873086
HAS2	3.01992996534838
SLCO2B1	3.01879026359358
HMGA2	3.01853044981192
EDNRB	3.01579300060727
GPX8	3.01461105654175
PPARG	3.01121371058751
TUSC3	3.01100153134587
IGFBP6	3.00219372294292
FTH1	2.9966946747484
LAMC1	2.99414578761635
COL1A2	2.99043998555436
PRKAA2	2.98940610542146
TRPC4	2.98688376057273
HAPLN1	2.98394924590388
FTL	2.98329377051437
CCN2	2.982773617466
SLC16A2	2.97884549157897
LPIN3	2.97855472208292
APBB2	2.97852806750325
MYL9	2.97717284809454
LAMB1	2.97472714403088
THBS2	2.97452986192949
CCL20	2.96720173065618
ARHGAP31	2.96491817474211
EFEMP1	2.96207280458198
COL5A3	2.95848333806146
CD101	2.95672110988646
KIAA1549L	2.95359710998845
BGN	2.95144038406951
CRYAB	2.95029517655711
GREM1	2.9502156889137
GAREM1	2.94955964315015
PLAC9	2.94638964363968
PDE10A	2.94616654529161
CCND1	2.94449124158574
AMPH	2.93807736151498
PLS3	2.93571058066573
PXDC1	2.93501872457846
CMKLR2	2.93174709774062
KCNK2	2.92887786156191
NTM	2.92311726723884
DKK1	2.9210907607108
MYO10	2.91535839096015
FGD1	2.91449081970582
ITGBL1	2.91270876664285
NRN1	2.91111142257721
CAMK2D	2.90733797777086
DYNC1I1	2.90562707637295
ADAM12	2.90433266424571
FOXD1	2.90381488784167
BVES	2.89900221017375
SHISAL1	2.89686565721355
PMCH	2.89529760410019
MARCHF4	2.89470247759606
SERPINE2	2.8941179350069
MLPH	2.89373882484739
VEPH1	2.89346830032744
GPR176	2.89319338598891
CD14	2.89138911172874
AFAP1	2.88499872476136
THSD4	2.8804548102653
P3H2	2.88035069971217
COPZ2	2.87297325153163
KRT15	2.86568899595067
PSG4	2.86568899595067
PLSCR4	2.86459150638739
GRIK2	2.86427792846737
ADGRG2	2.8628074377299
GPC1	2.8624388161102
PRRX1	2.86096074163254
TPM2	2.85708502496257
GNG12	2.85138646331506
TRHDE	2.84534399013684
CAP2	2.84485683995967
NUAK1	2.84013453138283
KCNMA1	2.83913553902691
CLEC5A	2.83488217830273
SLC1A1	2.83008958134975
PKIB	2.82752031658243
CXCL3	2.82496836483176
MEIS3	2.82425941980177
MOCS1	2.82303850860549
CCL2	2.82013099115641
SGCE	2.81971672208653
COL1A1	2.81753554420591
RGS4	2.81655067806363
CACNA2D1	2.81216803275208
CCL3L3	2.80899002407269
SNAI2	2.80845191219573
KCNJ2	2.8070167997672
OSMR	2.80369519317734
CTTN	2.80359251315115
HTRA1	2.80056626266002
FAM110B	2.79682299878506
CXCL16	2.7949620397039
EPHB2	2.79004283321877
WWTR1	2.78872524928303
SLC26A11	2.7881027687473
PHLDA2	2.7870394812917
COL12A1	2.78554139073368
CALD1	2.78505882681418
LIMS2	2.78451235339227
EPHA5	2.78235660220933
MXRA8	2.7799872059825
CD163L1	2.77978209041367
HFE	2.77909336368287
POSTN	2.77853905338926
MEIS2	2.77845276382017
FBN1	2.77391620473235
ATP6V0D2	2.77072088293126
WNT5A	2.76214615995016
EPHA2	2.75651382194157
AKR1C1	2.74995402818009
PPBP	2.74640128997354
DSP	2.74477591054214
SIX4	2.74269955734119
TAGLN	2.74229624658347
WFS1	2.74002747085359
COL5A1	2.73890090025925
TOX2	2.73838077725488
MPEG1	2.73631061675069
PAWR	2.73493077512472
LGALS3	2.73114590523307
CADM3	2.72800319758054
EPHX1	2.7255230881251
SLC43A2	2.72551520384864
WTIP	2.72399142284454
KCTD7	2.72094800845549
HECW2	2.72088217366733
EPB41L1	2.7184487770946
SEMA5A	2.71039603682704
CXCL1	2.71000691984648
RAI14	2.7099241056098
GREB1	2.70859689470443
NRP2	2.7050001022662
CXCL12	2.70449964141193
PRDM5	2.69915790440062
PLCL1	2.69513565881629
TNF	2.69285011076253
FKBP10	2.69073082364161
CMKLR1	2.68717266008348
ZNF703	2.68530237180713
PSG5	2.68472230697604
COL3A1	2.67822491370757
TPM1	2.67794726826003
FBLIM1	2.67051740690089
YAP1	2.66980273760164
C3orf52	2.66581895618982
PCOLCE2	2.66477880677026
PLA2G7	2.65601006121423
UCHL1	2.65320551268026
AASS	2.65030294621648
CPED1	2.64594910876754
STEAP1B	2.6422368349598
ITGA3	2.64101325705861
COL5A2	2.63988535742183
MMP19	2.63482189610385
CDC42BPA	2.63294771786113
PHLDA1	2.63208023537823
KRT19	2.62371470886533
NGF	2.62227905694716
PLPP3	2.61640227962769
G6PD	2.61565116881272
THY1	2.61197677221933
SIGLEC11	2.60627969853162
RGMB	2.60493877373034
SPOCD1	2.60449778623948
IGFBP3	2.60358621233548
PLXNA2	2.60234605272213
C1QTNF1	2.60097289600721
VNN2	2.59423375145873
S1PR3	2.5894470347989
BNC2	2.58285992065091
VWA5A	2.58119249545333
CDH4	2.57786510989664
TCF7	2.57550571027203
FOXC2	2.57344754386476
COL8A1	2.57227702769073
SNCG	2.57125408538889
SAMD4A	2.56853965111287
SLC7A2	2.5678893377736
DOK5	2.5670244079061
PAPSS2	2.56574063897114
IL17RC	2.56511276724415
EPS8	2.55855902804474
CHSY3	2.558486464795
CLC	2.55771004705165
JPH2	2.55754329022114
FHOD3	2.55598151084538
C1S	2.55565147537641
TMEM198	2.55331688038676
RORA	2.55251885300116
NXN	2.55134090115894
STEAP2	2.55049001460975
CDH11	2.54940324313335
PTPN21	2.54783509629107
COL13A1	2.54087863629214
ALDH1A2	2.53804070996143
COLEC12	2.53719538777611
MMP14	2.53502620922579
RAB30	2.53457339166304
CSF1R	2.53400031165006
RGL3	2.53325216549123
INSYN2B	2.52782520077375
RFLNA	2.52701073683389
MYPN	2.52650837138154
TNC	2.52647039232063
RNF150	2.52609086116791
FUCA1	2.52555717720338
PCDHGA7	2.52412239710659
BOK	2.52402345271485
ZNF532	2.51808815669003
SHROOM3	2.51465859638225
TUBB2A	2.51151737280603
C5AR1	2.51121284040176
ECM1	2.51058407900961
DMD	2.50943282983294
NHS	2.50512546500113
LGMN	2.50369047498676
CTHRC1	2.50166964928042
MAFB	2.49873192210395
COL16A1	2.48944768840201
PCDHGA12	2.48685448570933
NOL3	2.48334895503952
TMEM204	2.48279734341608
ANTXR1	2.48206715903963
PMEPA1	2.48201330583909
ELN	2.48063106599286
IFI30	2.47518568504627
ITGA11	2.47375431858989
ACAN	2.47017310429971
ADAMTSL1	2.46926920286041
PFN2	2.46902898245592
TPSG1	2.46665936584803
WLS	2.46129123618207
GDNF	2.4610938743626
SPOCK1	2.459500614849
PGAP4	2.45679429840916
MAGI1	2.45585391612186
SCARF2	2.45411533250878
SERPINB2	2.45121398038451
VNN1	2.44364657633053
PITX1	2.44043416361239
LIFR	2.43596748155268
S100A10	2.43369611594839
TGFB1I1	2.43326249434677
DENND2C	2.43158058834521
MTARC2	2.42434458180813
MN1	2.42001280284699
SPARC	2.41819066048489
FSTL3	2.41672380281121
IL17RE	2.41115223404354
LMNA	2.40897517543931
CDKN2B	2.40220081649858
SEMA6B	2.40154187600802
DOCK9	2.39724499641259
KDELR3	2.39050840755279
MS4A2	2.38730316850153
PPP1R3C	2.38668348143684
TPST1	2.38455441112553
AKT3	2.38243751772083
MYO1E	2.3803526835128
NOTCH3	2.37695391113945
LUM	2.37568551416279
TRPS1	2.37517090877675
ADAP2	2.37422021210588
HOXC10	2.37237343870832
FCAR	2.36953194498622
EYA2	2.36710611628199
DDR2	2.36301592943516
RBMS3	2.36044913382076
NLRC4	2.35939217482469
HABP4	2.35069967617125
PDK4	2.33520909485478
PRKD1	2.32855849101058
UNC13C	2.32827010753215
PLIN2	2.32574974364902
SMPDL3A	2.32557318352079
CCL3	2.32528916347384
FBXL7	2.3208416729728
EPAS1	2.31820604766999
NFIA	2.31487599366354
COL7A1	2.31371520989552
NR2F1	2.31112973524057
AOX1	2.30696790325298
RHBDF1	2.30129286515178
THBS1	2.28969930517944
HSPA12A	2.28693293551252
LY6K	2.28386922599169
ARC	2.28383018372482
GPR34	2.27843417451307
LPAR1	2.27417833242501
IL1R2	2.27232040851727
SLC49A3	2.26869796125647
ABCG2	2.26810872792686
PDGFA	2.26635825414862
DPYSL3	2.26553927837665
GALNT5	2.26474605079997
FGF1	2.26120150397288
OSBPL10	2.25977064874576
PILRA	2.25780677744979
NUPR1	2.25563241370769
TWIST2	2.25343139597569
GLIS3	2.25118267804262
CAMK1	2.25038556417905
LHFPL2	2.24936279025269
PLAT	2.24521249209927
CTSL	2.24519080516036
RRAS	2.24276971840994
SQSTM1	2.24071023286656
ARMCX2	2.23955435923906
ISLR	2.23892468213878
AQP9	2.23804801590682
ADAMDEC1	2.23792218923475
FAM114A1	2.23321356411841
OXTR	2.23004914360626
CYP1B1	2.22657408426812
NMT2	2.22545302462692
TWIST1	2.22431869422301
SULF1	2.22397416152472
SVEP1	2.22080775810293
LAMA4	2.21807382202454
UST	2.21678531680024
NCF1	2.21629310620136
OLAH	2.21560935765364
SEMA3C	2.21427963609566
CPE	2.21113660566949
ZFP36	2.2082504567314
ABLIM3	2.20366861924285
NECTIN3	2.2031539553213
CUEDC1	2.20266143910595
ADGRL2	2.19388892914525
ALOX5AP	2.19311032636479
P4HA2	2.19181615517675
FZD4	2.19063052251777
ITGB5	2.18952944805021
SLFN5	2.18092383859712
TNFAIP8L3	2.17940024968926
ALPL	2.17937545565116
FHDC1	2.17533602868872
SIGLEC7	2.17531602526198
PPP1R14A	2.17478339009848
AKAP12	2.17113810579593
C6orf132	2.16973620511876
NPL	2.16679634984283
KRT7	2.1662758691232
NEXN	2.16459434641475
PAX8	2.16360484284584
SLCO4C1	2.1628167716947
EFNA2	2.16193189322161
CFAP58	2.16180548614379
GPR82	2.15954558816281
SLIT3	2.15820885016539
AK5	2.15339242001223
MCAM	2.1532557670358
SELENOM	2.14809392668354
TNFRSF12A	2.14599358460542
ALDH1A3	2.14317357911534
INHBA	2.14151660121479
LAYN	2.13815332787403
FBXO17	2.13713708714121
LMCD1	2.13304240235689
VCAN	2.13170242990601
ADAM19	2.13096113200238
NCKAP1	2.1280079466336
ELOVL4	2.12691879394568
CCDC85A	2.12683792514845
S100A6	2.12262750943427
SDC2	2.11668248597912
SHISA4	2.11424439052308
NHSL2	2.11282951316388
ADAMTS4	2.11192356767598
STX1A	2.1113874749246
ZFHX3	2.10664910954679
S100A4	2.10589733230447
SYDE2	2.10185301639184
LOXL4	2.10031232422347
SRXN1	2.09476733925315
TGFB2	2.09323000157245
AHNAK	2.09253642940647
LACC1	2.08815362706218
MET	2.08787090176272
ARPIN	2.08313425450148
KYNU	2.07822476372152
PRKG1	2.07578180634226
MRAS	2.07576839890043
SYNE2	2.0721854742257
HMCN1	2.07022522344484
ALPK3	2.06978086611834
SLC2A10	2.06900959568796
TGFBR3	2.06703010552351
TNFRSF11B	2.06583730888908
MAML2	2.05780365837547
TYMP	2.05372006465127
CDC42EP1	2.05132299632541
CD9	2.044548304716
ADAMTS2	2.04445874267193
OSR1	2.04327239395861
IL1RN	2.03787048867965
MEDAG	2.03659817434591
IFITM10	2.0358564160473
MCEMP1	2.03117027603951
SIX1	2.03062821090905
AK1	2.02918767133558
PNMA2	2.0274129335375
FMN1	2.02686446141049
RHOC	2.02609085858105
CC2D2A	2.02091967137167
EFEMP2	2.01830859545878
ADPRHL1	2.0146308518389
EPB41L4B	2.00968957093678
SEPTIN10	2.00733678813278
IL4I1	2.00716056722198
PRSS23	2.00712346141293
GPR35	2.00464492873048
LAMA2	2.00399678087179
PRKCA	2.00382939674341
EMILIN1	2.00257163317978
TNS2	2.0020266530719
TXNRD1	2.00025392191727
TUBB3	1.99837816994729
HAS1	1.99379374747064
ADORA3	1.99187635041134
PCDHGB2	1.98744620527031
RHOB	1.98382520527666
PODXL	1.98171484527384
GSR	1.98061489959166
TRNP1	1.97797686866747
KCNJ15	1.97589430252082
MID2	1.9750924229228
PTPN3	1.97357008195683
PLA2G4C	1.97308204189644
CYTH4	1.97272103826167
PLEC	1.97126260975716
CD163	1.96895345272166
CLEC7A	1.96755100793624
C1QTNF12	1.96721592789777
PHLDB1	1.96447186108389
ZFHX4	1.95944204266095
ENPP1	1.95920983735982
NAP1L3	1.95855497506382
BOC	1.95758205465987
NOX5	1.95747894957261
EFHD1	1.95728681752035
ARHGEF28	1.95540311020377
GPAT3	1.95499312716634
BIN1	1.95474770751895
LRRC8E	1.95332188582814
MAPT	1.95331046493735
TXLNB	1.95299547529599
SORBS2	1.95006379905243
RTL3	1.94919515194786
MID1	1.94634809573516
SGK1	1.94474077220854
GJA1	1.94273755249407
FJX1	1.94200189207721
RTL5	1.93905723440367
ADM	1.93863429558255
SLC48A1	1.93680894875077
TNFRSF11A	1.9363239450277
SLC26A1	1.93599825161105
KLHL29	1.93518378524117
GAS7	1.93449226745934
CRIM1	1.934215183918
LGALS1	1.93336942173107
CNTNAP1	1.93050494203101
IRAK2	1.92796642584036
SH3TC1	1.92484478152008
TG	1.92312843831329
AMIGO2	1.92268040272824
IFNLR1	1.92191085234377
CTSD	1.92137243202976
JUN	1.91865664400797
TRPC1	1.91782256407268
BMF	1.91477121959644
KIAA1614	1.91433412625886
BCL6	1.913109127268
PEAR1	1.91228625158927
PDE5A	1.9049270050636
C1QC	1.90281766548475
RAB3C	1.90157856661399
HEG1	1.8997063812825
PPL	1.89653473679653
CXCL2	1.895273491562
GFPT2	1.89307645153098
FCER1G	1.88880184430919
TMEM150B	1.88852527037651
SLC35E4	1.88719160089987
ATOH8	1.88672060436166
EGR2	1.88669398775766
TINAGL1	1.88598232213056
WASF3	1.88432895868317
S100A11	1.88070839779621
PDGFRA	1.88030191785047
CLCF1	1.87987562738135
FXYD6	1.87873790383954
DOCK4	1.8759940934795
OPTN	1.87516910730957
CACFD1	1.87409043437497
SLC4A4	1.87238179543798
MAMLD1	1.87018269881336
ADAM23	1.86683632448191
GLI3	1.86592022684804
SPHK1	1.86362592133277
TSPAN6	1.86255178295329
MYO7B	1.85923701555679
SMIM14	1.85783228936824
HRH1	1.85709332684043
CDC42EP3	1.85537102368316
PHLDB2	1.84986167520997
GADD45G	1.84696654438406
FCGRT	1.84438330020662
INSC	1.83960085361261
CARD19	1.83801023431033
ARMH4	1.83524502225538
PYGO1	1.83457285625417
HSPB7	1.83283490812369
CASS4	1.83153399743124
UGDH	1.82905273580556
TMTC1	1.82264029219483
IL1R1	1.8214223019956
NFIB	1.81973816067759
MICAL2	1.81911809369408
PDE4A	1.81754893009765
EPB41L3	1.81604291690608
PTGER2	1.81460366477244
NID1	1.8101072873664
MEFV	1.80946256228912
PLA2G4B	1.80941147425836
HCK	1.80465678264809
DNAJB4	1.8019309313875
AIFM2	1.8006164288588
ARRDC3	1.80005759081063
ABCD1	1.79927767800766
NLRP12	1.7970453689097
EEPD1	1.79696019425119
TMEM63B	1.7969337528038
TMIGD3	1.79198023913281
MYO1C	1.78984782468302
METRNL	1.78565293378389
APOBR	1.78209858613827
LAMA1	1.78198666387239
KCNG1	1.77739986503332
PAPPA	1.77691167839224
ANXA2	1.77617034378319
DAB2	1.77424825964769
PLXNC1	1.77397270654583
MXRA7	1.77307789069586
DOCK10	1.77164781467714
SGIP1	1.76993023784111
PRUNE2	1.76686211838172
TP53I11	1.76684705349671
PCDHGB5	1.76566788897387
PIR	1.76563959968257
PLD2	1.76142881322056
PMM1	1.76129937962563
SLC11A1	1.76008502807271
KIR2DL4	1.753334872486
GBP1	1.7500486523932
MS4A14	1.74894067119703
S100A12	1.74603659431431
VSIR	1.745862061584
EN1	1.74254092052689
NIBAN2	1.74027310743378
RGCC	1.74025471538549
OLFML2B	1.73978830570263
SMAD7	1.73671187888226
LRRK2	1.73625149727193
PCED1B	1.73321641221984
NCEH1	1.73066634604926
TGM5	1.73028754584197
PRSS12	1.72345690233089
CAVIN1	1.7189550599971
B3GALT4	1.71811846501017
DNAJB5	1.71754622334259
SATB2	1.71664408438958
C5AR2	1.71524937907935
ZFP36L1	1.71004417909723
PLEKHG3	1.70221487609884
KLF6	1.70195344190591
TRIB2	1.70036370920139
CPT1C	1.70017652979146
SGPP1	1.69923524041427
S100P	1.69839631283895
TRIM2	1.69695486445214
SMAGP	1.69542422636135
FHL2	1.69538182731033
SERPINI1	1.6945668383464
PTGFR	1.692857272673
MOXD1	1.69250338674134
TIMP1	1.69112451676556
TBX3	1.68913886754332
WIPI1	1.68880077829365
RAB31	1.68876457911463
PECR	1.68862081119563
GRIN3B	1.68860406203244
TMEM191C	1.68314916835774
VCAM1	1.68236961286232
CD86	1.67739097582762
MYBL1	1.674058671537
GSN	1.67340597593656
BAG3	1.67106634664705
RAPGEF3	1.67063066443982
VSTM2L	1.66949671117739
CNTNAP3B	1.66848477097676
S100A8	1.6682314499454
PNPLA1	1.66817147195961
EXT1	1.66645282711653
OLFML2A	1.66372109312579
SLC16A3	1.6606322588919
SOWAHC	1.65318113855124
SNTB2	1.65057501809105
MLF1	1.64946921471734
KCNK6	1.6477780386775
MARCKS	1.64774162897894
IER5L	1.64745036326213
CADM4	1.6443775676609
GPR68	1.64401995381607
DZIP1	1.64334590618456
ASS1	1.63944299535022
AK8	1.63239470349783
NINJ1	1.63118826319332
TBC1D12	1.63054173096364
SNX25	1.62793593136712
EHD2	1.62701256238138
GCLM	1.62693769563358
TYROBP	1.6240938675115
SYDE1	1.62291471032852
FPR1	1.62286408376034
MGAM2	1.62210501346802
SMARCA1	1.62116335923104
ADAM9	1.62059995177898
IL10	1.6187678111132
SH3PXD2B	1.61753817033664
SRC	1.61695851195382
RGS2	1.61678338798903
SMTN	1.61654706886091
GLI2	1.61392431980789
FAM214B	1.61357364429269
C14orf132	1.61151769946485
CDH2	1.60944735561288
IL10RA	1.60632711563702
GNPDA1	1.60252173677402
PANX2	1.59721824829373
GPR183	1.59661367047663
TRIB1	1.5941450989672
SLC22A18	1.58993950343982
ZNF467	1.58854187717193
MVP	1.58750354109381
ARAP3	1.58700589408122
ADAMTS6	1.58561204874706
CAPN2	1.58534404142095
F13A1	1.58508567719218
SLIT1	1.57953529046573
BAIAP2L1	1.57582012780556
OGG1	1.57557488533779
RARG	1.57543074867823
MYO6	1.5746956989974
PLA2G15	1.57340708183509
GABARAPL1	1.57298638113454
MFAP2	1.57134231686011
EVC2	1.56884198452908
PTAFR	1.56882480944056
FAM171A1	1.5656006517639
SLC6A6	1.55884102915631
AGAP1	1.55754071473663
GJC1	1.55743106606925
DCBLD1	1.55574529272218
CD300C	1.55501934523339
AKR1C3	1.55280296410029
SRD5A1	1.55052576538353
PTGES	1.54795473354354
SGSH	1.54752021533822
CCDC153	1.54701580561214
PDE1B	1.54647917631518
FST	1.54371820514462
JCAD	1.54348563385063
ITGAX	1.54331112639772
BEST1	1.53807517510274
ACOX2	1.53750055828262
GCLC	1.53392268239771
UPB1	1.53372851801351
ASAP2	1.53275245933212
PROS1	1.53272678386395
FGD4	1.53236051331671
TLR8	1.53226536502664
ALDH1L2	1.5295272766596
CD276	1.52744277156127
HPGDS	1.52668805882462
HTATIP2	1.5262141379967
TNFAIP2	1.52237607382899
CARD10	1.5197947662617
SLC36A1	1.51740230692852
PERP	1.51713765496629
HIF1A	1.51702303473793
PGD	1.51493497044042
KLF2	1.51396508215387
ARHGAP18	1.5120399367098
CYBB	1.51152736165452
OLFML3	1.50918826431958
SCPEP1	1.50842376000046
BMPR2	1.50438495993682
IGF2R	1.49927002532325
ITGB7	1.49901567416312
KRT23	1.49821919883258
EID3	1.49707852160776
SH2D5	1.49608077797404
CLIP3	1.49483344966586
CYTIP	1.49291522575918
ASAP1	1.48827258520235
SHTN1	1.48159368476593
NBL1	1.47912974372668
FRMD3	1.47799691663008
PAQR5	1.47779399349652
SLC2A6	1.47713864866201
GNLY	1.46786130439908
RCBTB2	1.46727542013356
SLAMF1	1.46616818581589
PCDHGA4	1.46471564006122
TBC1D8	1.46356389058416
DPYSL2	1.46316694799748
RIN1	1.46311605018118
SCN9A	1.46266444050146
ARTN	1.46010627697382
C6orf226	1.45894419176408
CD151	1.45797652829184
SLC37A2	1.45315913562466
CHPF	1.44974041781385
NFKB2	1.44674243564203
ZNF469	1.44592611290522
SYCP2	1.44571778982153
CDK5RAP2	1.44471216510828
TUFT1	1.44453237803357
IGSF6	1.44335339234739
GALNT4	1.44222946873083
CAPG	1.44050436445568
ELL2	1.43479428341294
CD63	1.4333634887332
PITPNC1	1.43326981016066
BCAR3	1.42939978536268
GAL3ST4	1.42613828169416
SLC30A4	1.42488322658481
FGFR1	1.42480875352475
CREB3L3	1.41985863677999
WSB2	1.41861955520139
TAS1R3	1.41807823636315
CEBPB	1.41667423233327
PCOLCE	1.41612566569963
NEDD9	1.41572479879904
PENK	1.4124254580393
ATXN1	1.41117382226274
ARHGAP24	1.41097155653965
SIGLEC9	1.41081332827239
SUSD2	1.40972679014139
MAMSTR	1.40874249573624
RESF1	1.40814454860998
B3GNT5	1.40234846206898
FFAR2	1.39787288152128
TGM2	1.39580575168508
EFS	1.39575457569026
RBM47	1.39570384970809
ADCY4	1.39451795681344
PIMREG	1.3922382501446
NBPF19	1.39217082916731
CELA2A	1.38736585585295
NAV1	1.386030493572
